Model,Class,Loss
MNIST_SMLLAE_0.001_128_5_4.pth,0,0.8365662784600745
MNIST_SMLLAE_0.001_128_5_4.pth,1,1.0393805159871274
MNIST_SMLLAE_0.001_128_5_4.pth,2,0.8830900924034821
MNIST_SMLLAE_0.001_128_5_4.pth,3,0.9042004975351957
MNIST_SMLLAE_0.001_128_5_4.pth,4,0.9444078854655054
MNIST_SMLLAE_0.001_128_5_4.pth,5,0.9092364298522205
MNIST_SMLLAE_0.001_128_5_4.pth,6,0.9007483102334566
MNIST_SMLLAE_0.001_128_5_4.pth,7,0.9739232790957165
MNIST_SMLLAE_0.001_128_5_4.pth,8,0.9081481354314933
MNIST_SMLLAE_0.001_128_5_4.pth,9,0.9573835132143306
MNIST_SMLLAE_0.001_64_1_4.pth,0,0.8528710160936628
MNIST_SMLLAE_0.001_64_1_4.pth,1,1.1349865086278201
MNIST_SMLLAE_0.001_64_1_4.pth,2,0.8843246402088986
MNIST_SMLLAE_0.001_64_1_4.pth,3,0.9126271761880063
MNIST_SMLLAE_0.001_64_1_4.pth,4,1.0431147588610405
MNIST_SMLLAE_0.001_64_1_4.pth,5,0.9216891945477559
MNIST_SMLLAE_0.001_64_1_4.pth,6,0.8874548055807086
MNIST_SMLLAE_0.001_64_1_4.pth,7,1.0649184425749203
MNIST_SMLLAE_0.001_64_1_4.pth,8,0.931528761707537
MNIST_SMLLAE_0.001_64_1_4.pth,9,1.0597748974978747
MNIST_SMLLAE_0.001_128_10_4.pth,0,0.8180888764712275
MNIST_SMLLAE_0.001_128_10_4.pth,1,0.92182661972382
MNIST_SMLLAE_0.001_128_10_4.pth,2,0.840872223351815
MNIST_SMLLAE_0.001_128_10_4.pth,3,0.844585251277036
MNIST_SMLLAE_0.001_128_10_4.pth,4,0.8656524022824895
MNIST_SMLLAE_0.001_128_10_4.pth,5,0.8564918869813996
MNIST_SMLLAE_0.001_128_10_4.pth,6,0.8466195363341393
MNIST_SMLLAE_0.001_128_10_4.pth,7,0.8737276979225619
MNIST_SMLLAE_0.001_128_10_4.pth,8,0.8374096873604542
MNIST_SMLLAE_0.001_128_10_4.pth,9,0.8603162092661598
MNIST_SMLLAE_0.001_64_5_1.pth,0,0.8219280351181419
MNIST_SMLLAE_0.001_64_5_1.pth,1,0.9405923676385753
MNIST_SMLLAE_0.001_64_5_1.pth,2,0.8476886331688526
MNIST_SMLLAE_0.001_64_5_1.pth,3,0.8507406605942415
MNIST_SMLLAE_0.001_64_5_1.pth,4,0.8728784237155603
MNIST_SMLLAE_0.001_64_5_1.pth,5,0.8643942435226099
MNIST_SMLLAE_0.001_64_5_1.pth,6,0.8528267227284346
MNIST_SMLLAE_0.001_64_5_1.pth,7,0.8819580330343098
MNIST_SMLLAE_0.001_64_5_1.pth,8,0.8437868688997546
MNIST_SMLLAE_0.001_64_5_1.pth,9,0.8662577058208001
MNIST_SMLLAE_0.0001_128_1_3.pth,0,1.2249202624267461
MNIST_SMLLAE_0.0001_128_1_3.pth,1,1.7673261598343366
MNIST_SMLLAE_0.0001_128_1_3.pth,2,1.4955377526754556
MNIST_SMLLAE_0.0001_128_1_3.pth,3,1.4553555454358016
MNIST_SMLLAE_0.0001_128_1_3.pth,4,1.6435424599288195
MNIST_SMLLAE_0.0001_128_1_3.pth,5,1.4939699262514243
MNIST_SMLLAE_0.0001_128_1_3.pth,6,1.5949367172782754
MNIST_SMLLAE_0.0001_128_1_3.pth,7,1.6625331734173028
MNIST_SMLLAE_0.0001_128_1_3.pth,8,1.5155930192930742
MNIST_SMLLAE_0.0001_128_1_3.pth,9,1.645681912291747
MNIST_SMLLAE_0.001_128_1_3.pth,0,1.1315823141409427
MNIST_SMLLAE_0.001_128_1_3.pth,1,1.4375184883630223
MNIST_SMLLAE_0.001_128_1_3.pth,2,1.3269650211283404
MNIST_SMLLAE_0.001_128_1_3.pth,3,1.3026791129371909
MNIST_SMLLAE_0.001_128_1_3.pth,4,1.3434995140296135
MNIST_SMLLAE_0.001_128_1_3.pth,5,1.3398999259076312
MNIST_SMLLAE_0.001_128_1_3.pth,6,1.3556495216793705
MNIST_SMLLAE_0.001_128_1_3.pth,7,1.3607939085723826
MNIST_SMLLAE_0.001_128_1_3.pth,8,1.3111185562439278
MNIST_SMLLAE_0.001_128_1_3.pth,9,1.3266926562585255
MNIST_SMLLAE_0.001_64_5_3.pth,0,0.8209023217157442
MNIST_SMLLAE_0.001_64_5_3.pth,1,0.9248903426829939
MNIST_SMLLAE_0.001_64_5_3.pth,2,0.8458022742654926
MNIST_SMLLAE_0.001_64_5_3.pth,3,0.8481069249681907
MNIST_SMLLAE_0.001_64_5_3.pth,4,0.8688963066536152
MNIST_SMLLAE_0.001_64_5_3.pth,5,0.8598191160123979
MNIST_SMLLAE_0.001_64_5_3.pth,6,0.8493700566271899
MNIST_SMLLAE_0.001_64_5_3.pth,7,0.8778086565000074
MNIST_SMLLAE_0.001_64_5_3.pth,8,0.8419418496517674
MNIST_SMLLAE_0.001_64_5_3.pth,9,0.8644417620626739
MNIST_SMLLAE_0.01_32_1_3.pth,0,0.8233186670712063
MNIST_SMLLAE_0.01_32_1_3.pth,1,0.9255507061660028
MNIST_SMLLAE_0.01_32_1_3.pth,2,0.8485823197420254
MNIST_SMLLAE_0.01_32_1_3.pth,3,0.8518748298139855
MNIST_SMLLAE_0.01_32_1_3.pth,4,0.8726016827489111
MNIST_SMLLAE_0.01_32_1_3.pth,5,0.8650833949647142
